acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
SSp-tr5,188064,80,1111,"Primary somatosensory area, trunk, layer 5",361,,/997/8/567/688/695/315/453/322/361/1111/
SSp-tr6a,188064,81,9,"Primary somatosensory area, trunk, layer 6a",361,,/997/8/567/688/695/315/453/322/361/9/
SSp-tr6b,188064,82,461,"Primary somatosensory area, trunk, layer 6b",361,,/997/8/567/688/695/315/453/322/361/461/
SSp-un,188064,83,182305689,"Primary somatosensory area, unassigned",322,,/997/8/567/688/695/315/453/322/182305689/
SSp-un1,188064,84,182305693,"Primary somatosensory area, unassigned, layer 1",182305689,,/997/8/567/688/695/315/453/322/182305689/182305693/
SSp-un2/3,188064,85,182305697,"Primary somatosensory area, unassigned, layer 2/3",182305689,,/997/8/567/688/695/315/453/322/182305689/182305697/
SSp-un4,188064,86,182305701,"Primary somatosensory area, unassigned, layer 4",182305689,,/997/8/567/688/695/315/453/322/182305689/182305701/
SSp-un5,188064,87,182305705,"Primary somatosensory area, unassigned, layer 5",182305689,,/997/8/567/688/695/315/453/322/182305689/182305705/
SSp-un6a,188064,88,182305709,"Primary somatosensory area, unassigned, layer 6a",182305689,,/997/8/567/688/695/315/453/322/182305689/182305709/
SSp-un6b,188064,89,182305713,"Primary somatosensory area, unassigned, layer 6b",182305689,,/997/8/567/688/695/315/453/322/182305689/182305713/
SSs,188064,90,378,"Supplemental somatosensory area",453,,/997/8/567/688/695/315/453/378/
SSs1,188064,91,873,"Supplemental somatosensory area, layer 1",378,,/997/8/567/688/695/315/453/378/873/
SSs2/3,188064,92,806,"Supplemental somatosensory area, layer 2/3",378,,/997/8/567/688/695/315/453/378/806/
SSs4,188064,93,1035,"Supplemental somatosensory area, layer 4",378,,/997/8/567/688/695/315/453/378/1035/
SSs5,188064,94,1090,"Supplemental somatosensory area, layer 5",378,,/997/8/567/688/695/315/453/378/1090/
SSs6a,188064,95,862,"Supplemental somatosensory area, layer 6a",378,,/997/8/567/688/695/315/453/378/862/
SSs6b,188064,96,893,"Supplemental somatosensory area, layer 6b",378,,/997/8/567/688/695/315/453/378/893/
GU,009C75,97,1057,"Gustatory areas",315,,/997/8/567/688/695/315/1057/
GU1,009C75,98,36,"Gustatory areas, layer 1",1057,,/997/8/567/688/695/315/1057/36/
GU2/3,009C75,99,180,"Gustatory areas, layer 2/3",1057,,/997/8/567/688/695/315/1057/180/
GU4,009C75,100,148,"Gustatory areas, layer 4",1057,,/997/8/567/688/695/315/1057/148/
GU5,009C75,101,187,"Gustatory areas, layer 5",1057,,/997/8/567/688/695/315/1057/187/
GU6a,009C75,102,638,"Gustatory areas, layer 6a",1057,,/997/8/567/688/695/315/1057/638/
GU6b,009C75,103,662,"Gustatory areas, layer 6b",1057,,/997/8/567/688/695/315/1057/662/
VISC,11AD83,104,677,"Visceral area",315,,/997/8/567/688/695/315/677/
VISC1,11AD83,105,897,"Visceral area, layer 1",677,,/997/8/567/688/695/315/677/897/
VISC2/3,11AD83,106,1106,"Visceral area, layer 2/3",677,,/997/8/567/688/695/315/677/1106/
VISC4,11AD83,107,1010,"Visceral area, layer 4",677,,/997/8/567/688/695/315/677/1010/
VISC5,11AD83,108,1058,"Visceral area, layer 5",677,,/997/8/567/688/695/315/677/1058/
VISC6a,11AD83,109,857,"Visceral area, layer 6a",677,,/997/8/567/688/695/315/677/857/
VISC6b,11AD83,110,849,"Visceral area, layer 6b",677,,/997/8/567/688/695/315/677/849/
AUD,019399,111,247,"Auditory areas",315,,/997/8/567/688/695/315/247/
AUDd,019399,112,1011,"Dorsal auditory area",247,,/997/8/567/688/695/315/247/1011/
AUDd1,019399,113,527,"Dorsal auditory area, layer 1",1011,,/997/8/567/688/695/315/247/1011/527/
AUDd2/3,019399,114,600,"Dorsal auditory area, layer 2/3",1011,,/997/8/567/688/695/315/247/1011/600/
AUDd4,019399,115,678,"Dorsal auditory area, layer 4",1011,,/997/8/567/688/695/315/247/1011/678/
AUDd5,019399,116,252,"Dorsal auditory area, layer 5",1011,,/997/8/567/688/695/315/247/1011/252/
AUDd6a,019399,117,156,"Dorsal auditory area, layer 6a",1011,,/997/8/567/688/695/315/247/1011/156/
AUDd6b,019399,118,243,"Dorsal auditory area, layer 6b",1011,,/997/8/567/688/695/315/247/1011/243/
AUDp,019399,119,1002,"Primary auditory area",247,,/997/8/567/688/695/315/247/1002/
AUDp1,019399,120,735,"Primary auditory area, layer 1",1002,,/997/8/567/688/695/315/247/1002/735/
AUDp2/3,019399,121,251,"Primary auditory area, layer 2/3",1002,,/997/8/567/688/695/315/247/1002/251/
AUDp4,019399,122,816,"Primary auditory area, layer 4",1002,,/997/8/567/688/695/315/247/1002/816/
AUDp5,019399,123,847,"Primary auditory area, layer 5",1002,,/997/8/567/688/695/315/247/1002/847/
AUDp6a,019399,124,954,"Primary auditory area, layer 6a",1002,,/997/8/567/688/695/315/247/1002/954/
AUDp6b,019399,125,1005,"Primary auditory area, layer 6b",1002,,/997/8/567/688/695/315/247/1002/1005/
AUDpo,019399,126,1027,"Posterior auditory area",247,,/997/8/567/688/695/315/247/1027/
AUDpo1,019399,127,696,"Posterior auditory area, layer 1",1027,,/997/8/567/688/695/315/247/1027/696/
AUDpo2/3,019399,128,643,"Posterior auditory area, layer 2/3",1027,,/997/8/567/688/695/315/247/1027/643/
AUDpo4,019399,129,759,"Posterior auditory area, layer 4",1027,,/997/8/567/688/695/315/247/1027/759/
AUDpo5,019399,130,791,"Posterior auditory area, layer 5",1027,,/997/8/567/688/695/315/247/1027/791/
AUDpo6a,019399,131,249,"Posterior auditory area, layer 6a",1027,,/997/8/567/688/695/315/247/1027/249/
AUDpo6b,019399,132,456,"Posterior auditory area, layer 6b",1027,,/997/8/567/688/695/315/247/1027/456/
AUDv,019399,133,1018,"Ventral auditory area",247,,/997/8/567/688/695/315/247/1018/
AUDv1,019399,134,959,"Ventral auditory area, layer 1",1018,,/997/8/567/688/695/315/247/1018/959/
AUDv2/3,019399,135,755,"Ventral auditory area, layer 2/3",1018,,/997/8/567/688/695/315/247/1018/755/
AUDv4,019399,136,990,"Ventral auditory area, layer 4",1018,,/997/8/567/688/695/315/247/1018/990/
AUDv5,019399,137,1023,"Ventral auditory area, layer 5",1018,,/997/8/567/688/695/315/247/1018/1023/
AUDv6a,019399,138,520,"Ventral auditory area, layer 6a",1018,,/997/8/567/688/695/315/247/1018/520/
AUDv6b,019399,139,598,"Ventral auditory area, layer 6b",1018,,/997/8/567/688/695/315/247/1018/598/
VIS,08858C,140,669,"Visual areas",315,,/997/8/567/688/695/315/669/
VIS1,08858C,141,801,"Visual areas, layer 1",669,,/997/8/567/688/695/315/669/801/
VIS2/3,08858C,142,561,"Visual areas, layer 2/3",669,,/997/8/567/688/695/315/669/561/
VIS4,08858C,143,913,"Visual areas, layer 4",669,,/997/8/567/688/695/315/669/913/
VIS5,08858C,144,937,"Visual areas, layer 5",669,,/997/8/567/688/695/315/669/937/
VIS6a,08858C,145,457,"Visual areas, layer 6a",669,,/997/8/567/688/695/315/669/457/
VIS6b,08858C,146,497,"Visual areas, layer 6b",669,,/997/8/567/688/695/315/669/497/
VISal,08858C,147,402,"Anterolateral visual area",669,,/997/8/567/688/695/315/669/402/
VISal1,08858C,148,1074,"Anterolateral visual area, layer 1",402,,/997/8/567/688/695/315/669/402/1074/
VISal2/3,08858C,149,905,"Anterolateral visual area, layer 2/3",402,,/997/8/567/688/695/315/669/402/905/
VISal4,08858C,150,1114,"Anterolateral visual area, layer 4",402,,/997/8/567/688/695/315/669/402/1114/
VISal5,08858C,151,233,"Anterolateral visual area, layer 5",402,,/997/8/567/688/695/315/669/402/233/
VISal6a,08858C,152,601,"Anterolateral visual area, layer 6a",402,,/997/8/567/688/695/315/669/402/601/
VISal6b,08858C,153,649,"Anterolateral visual area, layer 6b",402,,/997/8/567/688/695/315/669/402/649/
VISam,08858C,154,394,"Anteromedial visual area",669,,/997/8/567/688/695/315/669/394/
VISam1,08858C,155,281,"Anteromedial visual area, layer 1",394,,/997/8/567/688/695/315/669/394/281/
VISam2/3,08858C,156,1066,"Anteromedial visual area, layer 2/3",394,,/997/8/567/688/695/315/669/394/1066/
VISam4,08858C,157,401,"Anteromedial visual area, layer 4",394,,/997/8/567/688/695/315/669/394/401/
VISam5,08858C,158,433,"Anteromedial visual area, layer 5",394,,/997/8/567/688/695/315/669/394/433/
VISam6a,08858C,159,1046,"Anteromedial visual area, layer 6a",394,,/997/8/567/688/695/315/669/394/1046/
VISam6b,08858C,160,441,"Anteromedial visual area, layer 6b",394,,/997/8/567/688/695/315/669/394/441/
VISl,08858C,161,409,"Lateral visual area",669,,/997/8/567/688/695/315/669/409/
VISl1,08858C,162,421,"Lateral visual area, layer 1",409,,/997/8/567/688/695/315/669/409/421/
VISl23,08858C,163,973,"Lateral visual area, layer 2/3",409,,/997/8/567/688/695/315/669/409/973/
VISl4,08858C,164,573,"Lateral visual area, layer 4",409,,/997/8/567/688/695/315/669/409/573/
VISl5,08858C,165,613,"Lateral visual area, layer 5",409,,/997/8/567/688/695/315/669/409/613/
VISl6a,08858C,166,74,"Lateral visual area, layer 6a",409,,/997/8/567/688/695/315/669/409/74/
VISl6b,08858C,167,121,"Lateral visual area, layer 6b",409,,/997/8/567/688/695/315/669/409/121/
VISp,08858C,168,385,"Primary visual area",669,,/997/8/567/688/695/315/669/385/
VISp1,08858C,169,593,"Primary visual area, layer 1",385,,/997/8/567/688/695/315/669/385/593/
VISp2/3,08858C,170,821,"Primary visual area, layer 2/3",385,,/997/8/567/688/695/315/669/385/821/
VISp4,08858C,171,721,"Primary visual area, layer 4",385,,/997/8/567/688/695/315/669/385/721/
VISp5,08858C,172,778,"Primary visual area, layer 5",385,,/997/8/567/688/695/315/669/385/778/
VISp6a,08858C,173,33,"Primary visual area, layer 6a",385,,/997/8/567/688/695/315/669/385/33/
VISp6b,08858C,174,305,"Primary visual area, layer 6b",385,,/997/8/567/688/695/315/669/385/305/
VISpl,08858C,175,425,"Posterolateral visual area",669,,/997/8/567/688/695/315/669/425/
VISpl1,08858C,176,750,"Posterolateral visual area, layer 1",425,,/997/8/567/688/695/315/669/425/750/
VISpl2/3,08858C,177,269,"Posterolateral visual area, layer 2/3",425,,/997/8/567/688/695/315/669/425/269/
VISpl4,08858C,178,869,"Posterolateral visual area, layer 4",425,,/997/8/567/688/695/315/669/425/869/
VISpl5,08858C,179,902,"Posterolateral visual area, layer 5",425,,/997/8/567/688/695/315/669/425/902/
VISpl6a,08858C,180,377,"Posterolateral visual area, layer 6a",425,,/997/8/567/688/695/315/669/425/377/
VISpl6b,08858C,181,393,"Posterolateral visual area, layer 6b",425,,/997/8/567/688/695/315/669/425/393/
VISpm,08858C,182,533,"posteromedial visual area",669,,/997/8/567/688/695/315/669/533/
VISpm1,08858C,183,805,"posteromedial visual area, layer 1",533,,/997/8/567/688/695/315/669/533/805/
VISpm2/3,08858C,184,41,"posteromedial visual area, layer 2/3",533,,/997/8/567/688/695/315/669/533/41/
VISpm4,08858C,185,501,"posteromedial visual area, layer 4",533,,/997/8/567/688/695/315/669/533/501/
VISpm5,08858C,186,565,"posteromedial visual area, layer 5",533,,/997/8/567/688/695/315/669/533/565/
VISpm6a,08858C,187,257,"posteromedial visual area, layer 6a",533,,/997/8/567/688/695/315/669/533/257/
VISpm6b,08858C,188,469,"posteromedial visual area, layer 6b",533,,/997/8/567/688/695/315/669/533/469/
ACA,40A666,189,31,"Anterior cingulate area",315,,/997/8/567/688/695/315/31/
ACA1,40A666,190,572,"Anterior cingulate area, layer 1",31,,/997/8/567/688/695/315/31/572/
ACA2/3,40A666,191,1053,"Anterior cingulate area, layer 2/3",31,,/997/8/567/688/695/315/31/1053/
ACA5,40A666,192,739,"Anterior cingulate area, layer 5",31,,/997/8/567/688/695/315/31/739/
ACA6a,40A666,193,179,"Anterior cingulate area, layer 6a",31,,/997/8/567/688/695/315/31/179/
ACA6b,40A666,194,227,"Anterior cingulate area, layer 6b",31,,/997/8/567/688/695/315/31/227/
ACAd,40A666,195,39,"Anterior cingulate area, dorsal part",31,,/997/8/567/688/695/315/31/39/
ACAd1,40A666,196,935,"Anterior cingulate area, dorsal part, layer 1",39,,/997/8/567/688/695/315/31/39/935/
ACAd2/3,40A666,197,211,"Anterior cingulate area, dorsal part, layer 2/3",39,,/997/8/567/688/695/315/31/39/211/
ACAd5,40A666,198,1015,"Anterior cingulate area, dorsal part, layer 5",39,,/997/8/567/688/695/315/31/39/1015/
ACAd6a,40A666,199,919,"Anterior cingulate area, dorsal part, layer 6a",39,,/997/8/567/688/695/315/31/39/919/
ACAd6b,40A666,200,927,"Anterior cingulate area, dorsal part, layer 6b",39,,/997/8/567/688/695/315/31/39/927/
ACAv,40A666,201,48,"Anterior cingulate area, ventral part",31,,/997/8/567/688/695/315/31/48/
ACAv1,40A666,202,588,"Anterior cingulate area, ventral part, layer 1",48,,/997/8/567/688/695/315/31/48/588/
ACAv2/3,40A666,203,296,"Anterior cingulate area, ventral part, layer 2/3",48,,/997/8/567/688/695/315/31/48/296/
ACAv5,40A666,204,772,"Anterior cingulate area, ventral part, layer 5",48,,/997/8/567/688/695/315/31/48/772/
ACAv6a,40A666,205,810,"Anterior cingulate area, ventral part, 6a",48,,/997/8/567/688/695/315/31/48/810/
ACAv6b,40A666,206,819,"Anterior cingulate area, ventral part, 6b",48,,/997/8/567/688/695/315/31/48/819/
PL,2FA850,207,972,"Prelimbic area",315,,/997/8/567/688/695/315/972/
PL1,2FA850,208,171,"Prelimbic area, layer 1",972,,/997/8/567/688/695/315/972/171/
PL2,2FA850,209,195,"Prelimbic area, layer 2",972,,/997/8/567/688/695/315/972/195/
PL2/3,2FA850,210,304,"Prelimbic area, layer 2/3",972,,/997/8/567/688/695/315/972/304/
PL5,2FA850,211,363,"Prelimbic area, layer 5",972,,/997/8/567/688/695/315/972/363/
PL6a,2FA850,212,84,"Prelimbic area, layer 6a",972,,/997/8/567/688/695/315/972/84/
PL6b,2FA850,213,132,"Prelimbic area, layer 6b",972,,/997/8/567/688/695/315/972/132/
ILA,59B363,214,44,"Infralimbic area",315,,/997/8/567/688/695/315/44/
ILA1,59B363,215,707,"Infralimbic area, layer 1",44,,/997/8/567/688/695/315/44/707/
ILA2,59B363,216,747,"Infralimbic area, layer 2",44,,/997/8/567/688/695/315/44/747/
ILA2/3,59B363,217,556,"Infralimbic area, layer 2/3",44,,/997/8/567/688/695/315/44/556/
ILA5,59B363,218,827,"Infralimbic area, layer 5",44,,/997/8/567/688/695/315/44/827/
ILA6a,59B363,219,1054,"Infralimbic area, layer 6a",44,,/997/8/567/688/695/315/44/1054/
ILA6b,59B363,220,1081,"Infralimbic area, layer 6b",44,,/997/8/567/688/695/315/44/1081/
ORB,248A5E,221,714,"Orbital area",315,,/997/8/567/688/695/315/714/
ORB1,248A5E,222,264,"Orbital area, layer 1",714,,/997/8/567/688/695/315/714/264/
ORB2/3,248A5E,223,492,"Orbital area, layer 2/3",714,,/997/8/567/688/695/315/714/492/
ORB5,248A5E,224,352,"Orbital area, layer 5",714,,/997/8/567/688/695/315/714/352/
ORB6a,248A5E,225,476,"Orbital area, layer 6a",714,,/997/8/567/688/695/315/714/476/
ORB6b,248A5E,226,516,"Orbital area, layer 6b",714,,/997/8/567/688/695/315/714/516/
ORBl,248A5E,227,723,"Orbital area, lateral part",714,,/997/8/567/688/695/315/714/723/
ORBl1,248A5E,228,448,"Orbital area, lateral part, layer 1",723,,/997/8/567/688/695/315/714/723/448/
ORBl2/3,248A5E,229,412,"Orbital area, lateral part, layer 2/3",723,,/997/8/567/688/695/315/714/723/412/
ORBl5,248A5E,230,630,"Orbital area, lateral part, layer 5",723,,/997/8/567/688/695/315/714/723/630/
ORBl6a,248A5E,231,440,"Orbital area, lateral part, layer 6a",723,,/997/8/567/688/695/315/714/723/440/
ORBl6b,248A5E,232,488,"Orbital area, lateral part, layer 6b",723,,/997/8/567/688/695/315/714/723/488/
ORBm,248A5E,233,731,"Orbital area, medial part",714,,/997/8/567/688/695/315/714/731/
ORBm1,248A5E,234,484,"Orbital area, medial part, layer 1",731,,/997/8/567/688/695/315/714/731/484/
ORBm2,248A5E,235,524,"Orbital area, medial part, layer 2",731,,/997/8/567/688/695/315/714/731/524/
ORBm2/3,248A5E,236,582,"Orbital area, medial part, layer 2/3",731,,/997/8/567/688/695/315/714/731/582/
ORBm5,248A5E,237,620,"Orbital area, medial part, layer 5",731,,/997/8/567/688/695/315/714/731/620/
ORBm6a,248A5E,238,910,"Orbital area, medial part, layer 6a",731,,/997/8/567/688/695/315/714/731/910/
ORBv,248A5E,239,738,"Orbital area, ventral part",714,,/997/8/567/688/695/315/714/738/
ORBvl,248A5E,240,746,"Orbital area, ventrolateral part",714,,/997/8/567/688/695/315/714/746/
ORBvl1,248A5E,241,969,"Orbital area, ventrolateral part, layer 1",746,,/997/8/567/688/695/315/714/746/969/
ORBvl2/3,248A5E,242,288,"Orbital area, ventrolateral part, layer 2/3",746,,/997/8/567/688/695/315/714/746/288/
ORBvl5,248A5E,243,1125,"Orbital area, ventrolateral part, layer 5",746,,/997/8/567/688/695/315/714/746/1125/
ORBvl6a,248A5E,244,608,"Orbital area, ventrolateral part, layer 6a",746,,/997/8/567/688/695/315/714/746/608/
ORBvl6b,248A5E,245,680,"Orbital area, ventrolateral part, layer 6b",746,,/997/8/567/688/695/315/714/746/680/
AI,219866,246,95,"Agranular insular area",315,,/997/8/567/688/695/315/95/
AId,219866,247,104,"Agranular insular area, dorsal part",95,,/997/8/567/688/695/315/95/104/
AId1,219866,248,996,"Agranular insular area, dorsal part, layer 1",104,,/997/8/567/688/695/315/95/104/996/
AId2/3,219866,249,328,"Agranular insular area, dorsal part, layer 2/3",104,,/997/8/567/688/695/315/95/104/328/
AId5,219866,250,1101,"Agranular insular area, dorsal part, layer 5",104,,/997/8/567/688/695/315/95/104/1101/
AId6a,219866,251,783,"Agranular insular area, dorsal part, layer 6a",104,,/997/8/567/688/695/315/95/104/783/
AId6b,219866,252,831,"Agranular insular area, dorsal part, layer 6b",104,,/997/8/567/688/695/315/95/104/831/
AIp,219866,253,111,"Agranular insular area, posterior part",95,,/997/8/567/688/695/315/95/111/
AIp1,219866,254,120,"Agranular insular area, posterior part, layer 1",111,,/997/8/567/688/695/315/95/111/120/
AIp2/3,219866,255,163,"Agranular insular area, posterior part, layer 2/3",111,,/997/8/567/688/695/315/95/111/163/
AIp5,219866,256,344,"Agranular insular area, posterior part, layer 5",111,,/997/8/567/688/695/315/95/111/344/
AIp6a,219866,257,314,"Agranular insular area, posterior part, layer 6a",111,,/997/8/567/688/695/315/95/111/314/
AIp6b,219866,258,355,"Agranular insular area, posterior part, layer 6b",111,,/997/8/567/688/695/315/95/111/355/
AIv,219866,259,119,"Agranular insular area, ventral part",95,,/997/8/567/688/695/315/95/119/
AIv1,219866,260,704,"Agranular insular area, ventral part, layer 1",119,,/997/8/567/688/695/315/95/119/704/
